Simulacion a traves del Metodo de Runge-Kutta de Orden Cuatro: 
t_i 		 | 	 x_i 		 | 	 y_i
15.30000 	 | 	 5.36467 	 | 	 1.73328
15.40000 	 | 	 5.42746 	 | 	 1.88140
15.50000 	 | 	 5.43992 	 | 	 2.04452
15.60000 	 | 	 5.39712 	 | 	 2.22078
15.70000 	 | 	 5.29662 	 | 	 2.40707
15.80000 	 | 	 5.13924 	 | 	 2.59889
15.90000 	 | 	 4.92934 	 | 	 2.79055
16.00000 	 | 	 4.67474 	 | 	 2.97546
16.10000 	 | 	 4.38602 	 | 	 3.14678
16.20000 	 | 	 4.07537 	 | 	 3.29808
16.30000 	 | 	 3.75527 	 | 	 3.42399
16.40000 	 | 	 3.43723 	 | 	 3.52076
16.50000 	 | 	 3.13081 	 | 	 3.58644
16.60000 	 | 	 2.84317 	 | 	 3.62087
16.70000 	 | 	 2.57896 	 | 	 3.62547
16.80000 	 | 	 2.34061 	 | 	 3.60280
16.90000 	 | 	 2.12874 	 | 	 3.55618
17.00000 	 | 	 1.94269 	 | 	 3.48928
17.10000 	 | 	 1.78095 	 | 	 3.40584
17.20000 	 | 	 1.64154 	 | 	 3.30943
17.30000 	 | 	 1.52228 	 | 	 3.20331
17.40000 	 | 	 1.42102 	 | 	 3.09037
17.50000 	 | 	 1.33569 	 | 	 2.97310
17.60000 	 | 	 1.26446 	 | 	 2.85358
17.70000 	 | 	 1.20567 	 | 	 2.73354
17.80000 	 | 	 1.15789 	 | 	 2.61437
17.90000 	 | 	 1.11993 	 | 	 2.49720
18.00000 	 | 	 1.09077 	 | 	 2.38288
18.10000 	 | 	 1.06956 	 | 	 2.27208
18.20000 	 | 	 1.05564 	 | 	 2.16529
18.30000 	 | 	 1.04847 	 | 	 2.06287
18.40000 	 | 	 1.04761 	 | 	 1.96507
18.50000 	 | 	 1.05277 	 | 	 1.87202
18.60000 	 | 	 1.06372 	 | 	 1.78381
18.70000 	 | 	 1.08033 	 | 	 1.70046
18.80000 	 | 	 1.10255 	 | 	 1.62195
18.90000 	 | 	 1.13037 	 | 	 1.54822
19.00000 	 | 	 1.16386 	 | 	 1.47921
19.10000 	 | 	 1.20315 	 | 	 1.41481
19.20000 	 | 	 1.24841 	 | 	 1.35494
19.30000 	 | 	 1.29987 	 | 	 1.29948
19.40000 	 | 	 1.35778 	 | 	 1.24834
19.50000 	 | 	 1.42245 	 | 	 1.20141
19.60000 	 | 	 1.49421 	 | 	 1.15862
19.70000 	 | 	 1.57344 	 | 	 1.11988
19.80000 	 | 	 1.66052 	 | 	 1.08514
19.90000 	 | 	 1.75587 	 | 	 1.05436
20.00000 	 | 	 1.85991 	 | 	 1.02752
20.10000 	 | 	 1.97306 	 | 	 1.00463
20.20000 	 | 	 2.09571 	 | 	 0.98573
20.30000 	 | 	 2.22825 	 | 	 0.97090
20.40000 	 | 	 2.37098 	 | 	 0.96024
20.50000 	 | 	 2.52414 	 | 	 0.95392
20.60000 	 | 	 2.68785 	 | 	 0.95216
20.70000 	 | 	 2.86207 	 | 	 0.95524
20.80000 	 | 	 3.04655 	 | 	 0.96349
20.90000 	 | 	 3.24078 	 | 	 0.97736
21.00000 	 | 	 3.44390 	 | 	 0.99735
21.10000 	 | 	 3.65463 	 | 	 1.02409
21.20000 	 | 	 3.87119 	 | 	 1.05832
21.30000 	 | 	 4.09117 	 | 	 1.10088
21.40000 	 | 	 4.31144 	 | 	 1.15276
21.50000 	 | 	 4.52806 	 | 	 1.21502
21.60000 	 | 	 4.73621 	 | 	 1.28885
21.70000 	 | 	 4.93017 	 | 	 1.37547
21.80000 	 | 	 5.10337 	 | 	 1.47603
21.90000 	 | 	 5.24855 	 | 	 1.59156
22.00000 	 | 	 5.35806 	 | 	 1.72273
22.10000 	 | 	 5.42440 	 | 	 1.86968
22.20000 	 | 	 5.44086 	 | 	 2.03171
22.30000 	 | 	 5.40235 	 | 	 2.20707
22.40000 	 | 	 5.30623 	 | 	 2.39274
22.50000 	 | 	 5.15303 	 | 	 2.58433
22.60000 	 | 	 4.94687 	 | 	 2.77622
22.70000 	 | 	 4.69530 	 | 	 2.96188
22.80000 	 | 	 4.40874 	 | 	 3.13447
22.90000 	 | 	 4.09931 	 | 	 3.28748
23.00000 	 | 	 3.77951 	 | 	 3.41547
23.10000 	 | 	 3.46095 	 | 	 3.51453
23.20000 	 | 	 3.15337 	 | 	 3.58258
23.30000 	 | 	 2.86412 	 | 	 3.61934
23.40000 	 | 	 2.59803 	 | 	 3.62611
23.50000 	 | 	 2.35768 	 | 	 3.60540
23.60000 	 | 	 2.14382 	 | 	 3.56045
23.70000 	 | 	 1.95587 	 | 	 3.49495
23.80000 	 | 	 1.79236 	 | 	 3.41264
23.90000 	 | 	 1.65133 	 | 	 3.31709
24.00000 	 | 	 1.53063 	 | 	 3.21160
24.10000 	 | 	 1.42808 	 | 	 3.09908
24.20000 	 | 	 1.34162 	 | 	 2.98206
24.30000 	 | 	 1.26939 	 | 	 2.86264
24.40000 	 | 	 1.20970 	 | 	 2.74259
24.50000 	 | 	 1.16114 	 | 	 2.62332
24.60000 	 | 	 1.12248 	 | 	 2.50596
24.70000 	 | 	 1.09268 	 | 	 2.39139
24.80000 	 | 	 1.07090 	 | 	 2.28031
24.90000 	 | 	 1.05645 	 | 	 2.17321
25.00000 	 | 	 1.04878 	 | 	 2.07045
25.10000 	 | 	 1.04746 	 | 	 1.97229
25.20000 	 | 	 1.05218 	 | 	 1.87888
25.30000 	 | 	 1.06270 	 | 	 1.79030
25.40000 	 | 	 1.07888 	 | 	 1.70658
25.50000 	 | 	 1.10067 	 | 	 1.62771
25.60000 	 | 	 1.12807 	 | 	 1.55362
25.70000 	 | 	 1.16113 	 | 	 1.48426
25.80000 	 | 	 1.19998 	 | 	 1.41951
25.90000 	 | 	 1.24478 	 | 	 1.35930
26.00000 	 | 	 1.29576 	 | 	 1.30351
26.10000 	 | 	 1.35318 	 | 	 1.25205
26.20000 	 | 	 1.41732 	 | 	 1.20481
26.30000 	 | 	 1.48854 	 | 	 1.16171
26.40000 	 | 	 1.56719 	 | 	 1.12267
26.50000 	 | 	 1.65366 	 | 	 1.08763
26.60000 	 | 	 1.74838 	 | 	 1.05655
26.70000 	 | 	 1.85175 	 | 	 1.02941
26.80000 	 | 	 1.96419 	 | 	 1.00623
26.90000 	 | 	 2.08611 	 | 	 0.98702
27.00000 	 | 	 2.21789 	 | 	 0.97187
27.10000 	 | 	 2.35984 	 | 	 0.96090
27.20000 	 | 	 2.51221 	 | 	 0.95425
27.30000 	 | 	 2.67512 	 | 	 0.95213
27.40000 	 | 	 2.84855 	 | 	 0.95483
27.50000 	 | 	 3.03227 	 | 	 0.96268
27.60000 	 | 	 3.22578 	 | 	 0.97610
27.70000 	 | 	 3.42827 	 | 	 0.99561
27.80000 	 | 	 3.63849 	 | 	 1.02182
